id_speech,id_extract,emerging_topic,textual_extract
M_109,M_109_climate_change,Climate change,"Sea -level rise, coastal erosion, saltwater intrusion and extreme weather events continue to place pressure on our communities."
M_109,M_109_food_security,Food security,"Our economy, food security, livelihoods, culture and way of life depend on healthy, sustainable marine resources."
M_109,M_109_financing_debt,Financing / debt,"We call for greater ambition, stronger support for adaptation and climate finance that is adequate, predictable and accessible."
M_109,M_109_development_sdgs,Development / SDGs,"Kiribati recently presented its Second Voluntary National Review (VNR), reaffirming our commitment to the 2030 Agenda."
M_109,M_109_peace_and_security,Peace and security,"Kiribati is proud to contribute in our own way to international peace and security, through the service of our police officers under the United Nations flag."
M_109,M_109_technology_digital_divide,Technology / digital divide,"With limited redundancy and technical capacity, island States face threats including cybercrime, critical infrastructure attacks, ransomware and online harms."
M_109,M_109_global_health,Global health,"We continue to strengthen our health systems across our widely dispersed and remote islands, improve access to essential services."
M_110,M_110_peace_and_security,Peace and security,The Maldives condemns the closure of the Strait of Hormuz. The Strait must remain open and safe.
M_110,M_110_human_rights,Human rights,Israel's genocide and war crimes against Palestinians continue.
M_110,M_110_climate_change,Climate change,"For SIDS, climate change is altering the very physical foundations of our nations."
M_110,M_110_financing_debt,Financing / debt,"This is why reform of the international financial architecture matters. We must implement the Sevilla Commitment and deliver on its promises on finance, debt, and reform."
M_110,M_110_ai_digital_transformation,AI / digital transformation,"Artificial intelligence offers significant opportunities. For small States, AI can close distance."
M_110,M_110_development_sdgs,Development / SDGs,We must move faster. We must speed up the 2030 Agenda.
M_111,M_111_peace_and_security,Peace and security,the question of Palestine remains central to any discussion of stability in the region.
M_111,M_111_development_sdgs,Development / SDGs,Iraq aspires to exercise its influence and have an impact as an effective economic power in the region.
M_111,M_111_climate_change,Climate change,"the security we seek is not limited to halting conflicts, but rather includes confronting climate change, the effects of desertification and water scarcity."
M_111,M_111_financing_debt,Financing / debt,"Invest with Iraq. Iraq has resources, markets, a good location, and the necessary will to build a new economy."
M_111,M_111_food_security,Food security,These are challenges that Iraq faces that affect its food security.
M_112,M_112_development_sdgs,Development / SDGs,"There can be no sustainable peace in a world of widening economic disparities, where some states spend more on servicing their debt than on the health of their citizens and education of their children."
M_112,M_112_climate_change,Climate change,Climate change threatens the lives and livelihoods of millions. Those countries that have contributed least to it bear its gravest consequences.
M_112,M_112_ai_digital_transformation,AI / digital transformation,The artificial intelligence revolution is opening unprecedented horizons for progress across every sphere of life.
M_112,M_112_peace_and_security,Peace and security,There can be no lasting stability in Lebanon without lasting stability in our region.
M_112,M_112_migration,Migration,It also means the return of its inhabitants and the revival of life in their villages and towns.
M_112,M_112_financing_debt,Financing / debt,These reforms should pave the way for an agreement with the IMF.
M_113,M_113_peace_and_security,Peace and security,"In Ukraine for almost five years, a permanent member of the Security Council has been waging a war of aggression against a sovereign state in flagrant violation of the charter."
M_113,M_113_climate_change,Climate change,"Monaco will honour its commitments by reducing greenhouse gas emissions by 67.5% by 2030, and by achieving carbon neutrality by 2050."
M_113,M_113_ai_digital_transformation,AI / digital transformation,Monaco supports the implementation of the Global Digital Compact and a new normative framework on AI based on law and shared ethical principles.
M_113,M_113_development_sdgs,Development / SDGs,"Four years before the 2030 deadline, the Sustainable Development agenda must not become the symbol of our broken promises."
M_113,M_113_other,Other,"The entry into force of the Agreement on Marine biodiversity of areas beyond national jurisdiction is a victory of the law over seizure, of cooperation over predation."
M_114,M_114_climate_change,Climate change,"Our focus now must be on preventing or minimizing the overshoot, shortening the time we spend above 1.5, and doing everything possible to fight our way back."
M_114,M_114_human_rights,Human rights,"For generations, our families have testified to displacement, illness, contamination and loss, all of them impacts to our core human rights."
M_114,M_114_development_sdgs,Development / SDGs,I must underscore the direct need for data capacity support to measure progress and effectiveness for small island developing states.
M_114,M_114_peace_and_security,Peace and security,"The Marshall Islands expresses its grave concern over increased efforts to spread dangerous disinformation in these halls. Taiwan, and its 23 million people, are an objective reality."
M_114,M_114_other,Other,The Marshall Islands joins 45 nations seeking a moratorium on seabed mining.
