id_speech,extract_id,cluster,indicator_name,code,option,textual_extract,coder_notes,coding_source,model,date_coded
M_109,M_109_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) Kiribati remains committed to gender equality and empowering women and girls. (2) Our election earlier this year to the Commission on the Status of Women—the first time Kiribati has secured a seat on this UN body —is a significant milestone, reflecting our determination to advance women’s rights nationally and globally. We will expand opportunities, prevent violence, and promote women’s economic empowerment and leadership.",,claude,claude-sonnet-5,2026-09-26
M_109,M_109_women_leadership_position,Gender and women's leadership,women_leadership_position,1,Positive / Supportive,"(1) We will expand opportunities, prevent violence, and promote women’s economic empowerment and leadership.",,claude,claude-sonnet-5,2026-09-26
M_109,M_109_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,1,Positive / Supportive,"(1) Our election earlier this year to the Commission on the Status of Women—the first time Kiribati has secured a seat on this UN body —is a significant milestone, reflecting our determination to advance women’s rights nationally and globally.","Inferred as multilateral leadership evidence since it concerns Kiribati's own participation on a UN body focused on women's status, not women's leadership within the body per se.",claude,claude-sonnet-5,2026-09-26
M_109,M_109_sg_selection_position,SG election,sg_selection_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_109,M_109_sg_selection_position_gender,SG election,sg_selection_position_gender,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_109,M_109_un_reform_position,UN reform,un_reform_position,1,Positive / Supportive,"(1) We therefore support efforts to strengthen the effectiveness, representativeness and accountability of the United Nations, including its Security Council. Reform should not weaken the organisation, it must enable the UN to fulfil the purposes for which it was created. (2) We also welcome the UN80 Initiative as an important opportunity to strengthen the effectiveness of the United Nations and acknowledge the work under Workstream 2 on Mandate Implementation Review, and recognise the leadership and contribution of Member States, including New Zealand and Jamaica, in advancing this important process.",,claude,claude-sonnet-5,2026-09-26
M_109,M_109_current_multilateralism_position,Multilateralism,current_multilateralism_position,3,Negative / Pushback,"(1) It is therefore fitting that the theme of this eighty-first session is: “Restoring Trust, Managing Transformation: A United Nations That Delivers for All.” This theme is both timely and relevant. Trust cannot be restored by words alone. It must be strengthened through implementation, accountability and results that improve the lives of our people. For Kiribati, the theme reaffirms our shared duty to strengthen the United Nations and ensure it serves everyone. (2) At a time when multilateralism faces growing challenges, partnership remains one of our most powerful affirmations, of what we can achieve, collectively.",Trust-restoration framing plus 'multilateralism faces growing challenges' indicates diagnosis of current system credibility deficit.,claude,claude-sonnet-5,2026-09-26
M_109,M_109_future_multilateralism_position,Multilateralism,future_multilateralism_position,6,Transformation,"(1) We therefore support efforts to strengthen the effectiveness, representativeness and accountability of the United Nations, including its Security Council. Reform should not weaken the organisation, it must enable the UN to fulfil the purposes for which it was created. (2) We also welcome the UN80 Initiative as an important opportunity to strengthen the effectiveness of the United Nations","un_reform_position is 1, so this must be 6 per rule.",claude,claude-sonnet-5,2026-09-26
M_110,M_110_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) For more than eight decades, every Secretary-General has been a man. It is time for a woman to lead this Organisation.",,claude,claude-sonnet-5,2026-09-26
M_110,M_110_women_leadership_position,Gender and women's leadership,women_leadership_position,1,Positive / Supportive,"(1) For more than eight decades, every Secretary-General has been a man. It is time for a woman to lead this Organisation.",,claude,claude-sonnet-5,2026-09-26
M_110,M_110_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,1,Positive / Supportive,"(1) For more than eight decades, every Secretary-General has been a man. It is time for a woman to lead this Organisation.",,claude,claude-sonnet-5,2026-09-26
M_110,M_110_sg_selection_position,SG election,sg_selection_position,1,Positive / Supportive,"(1) As Secretary-General Guterres approaches the end of a decade of service, The Maldives thanks him for his leadership and commitment to international cooperation. Thank you Secretary General Guterres. (2) The process to choose his successor must be transparent and based on merit. It must draw from the full breadth of talent available to this Organization.",First sentence is praise of sitting SG (excluded per rule); quoted only for context of adjacency to selection discussion but the operative claim is the second sentence on the selection process.,claude,claude-sonnet-5,2026-09-26
M_110,M_110_sg_selection_position_gender,SG election,sg_selection_position_gender,1,Positive / Supportive,"(1) For more than eight decades, every Secretary-General has been a man. It is time for a woman to lead this Organisation. (2) A leader who will defend the Charter, without exception. Who can turn reform into delivery. And who will listen to all Member States, including the smallest.",,claude,claude-sonnet-5,2026-09-26
M_110,M_110_un_reform_position,UN reform,un_reform_position,1,Positive / Supportive,"(1) And as the world transforms, so must the United Nations. The UN80 Initiative is an opportunity to reduce duplication, improve accountability, and focus resources on results. (2) Reform must preserve a meaningful UN presence on the ground, particularly in SIDS. (3) Reform must also confront one of this Organization’s oldest weaknesses: Unequal representation. The Security Council cannot reflect the world of 1945 while deciding for the world of today. It must be expanded in both permanent and non -permanent categories. SIDS must have a rotating seat. Africa must receive the representation long denied to it. And the veto must be abolished.",,claude,claude-sonnet-5,2026-09-26
M_110,M_110_current_multilateralism_position,Multilateralism,current_multilateralism_position,3,Negative / Pushback,"(1) Trust will not be restored by words alone. It will be restored by what this Organization delivers for every country, large or small. (2) This is how reform will restore trust. By bringing the United Nations closer to the people and the countries it serves. (3) Reform must also confront one of this Organization’s oldest weaknesses: Unequal representation. The Security Council cannot reflect the world of 1945 while deciding for the world of today.",Trust-restoration and oldest-weakness diagnosis indicate negative assessment of current system credibility.,claude,claude-sonnet-5,2026-09-26
M_110,M_110_future_multilateralism_position,Multilateralism,future_multilateralism_position,6,Transformation,"(1) And as the world transforms, so must the United Nations. The UN80 Initiative is an opportunity to reduce duplication, improve accountability, and focus resources on results. (2) It must be expanded in both permanent and non -permanent categories. SIDS must have a rotating seat. Africa must receive the representation long denied to it. And the veto must be abolished.","un_reform_position is 1, so this must be 6 per rule.",claude,claude-sonnet-5,2026-09-26
M_111,M_111_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) we remain committed in accordance with the Constitution to protecting human rights and freedoms, promoting women's participation ensuring child welfare, and preserving the ethnic, religious and cultural diversity of our country.",Brief general commitment to promoting women's participation; treated as a gender-equality/rights claim.,claude,claude-sonnet-5,2026-09-26
M_111,M_111_women_leadership_position,Gender and women's leadership,women_leadership_position,1,Positive / Supportive,"(1) we remain committed in accordance with the Constitution to protecting human rights and freedoms, promoting women's participation ensuring child welfare, and preserving the ethnic, religious and cultural diversity of our country.",,claude,claude-sonnet-5,2026-09-26
M_111,M_111_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_111,M_111_sg_selection_position,SG election,sg_selection_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_111,M_111_sg_selection_position_gender,SG election,sg_selection_position_gender,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_111,M_111_un_reform_position,UN reform,un_reform_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_111,M_111_current_multilateralism_position,Multilateralism,current_multilateralism_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_111,M_111_future_multilateralism_position,Multilateralism,future_multilateralism_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_gender_equality_position,Gender and women's leadership,gender_equality_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_sg_selection_position,SG election,sg_selection_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_sg_selection_position_gender,SG election,sg_selection_position_gender,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_112,M_112_un_reform_position,UN reform,un_reform_position,1,Positive / Supportive,"(1) The reality is that the world has changed profoundly since 1945. The membership of the United Nations has grown nearly fourfold. (2) Yet the basic composition of the Security Council remains captive to a historical moment dating back to the end of the Second World War. (3) We know that Security Council reform is a complex matter, but the difficulty of reform is no argument against its necessity. Indeed, reform of the United Nations must begin here with the Security Council. (4) We insist on reform of the United Nations only because we want it to be more representative, more democratic and more effective organization We want an organisation true to the purposes and principles of its charter, yet ever renewed, so that it may rise to the challenges of our rapidly changing world and meet the aspirations of our peoples and their new generations.",,claude,claude-sonnet-5,2026-09-26
M_112,M_112_current_multilateralism_position,Multilateralism,current_multilateralism_position,3,Negative / Pushback,"(1) The truth is that we cannot call on the states of the world to change their conduct, while failing to make the necessary changes within our own organization so that it delivers the results expected of it and regains the trust of the peoples of the world. (2) Africa and the Arab world cannot remain without permanent representation on the Council, nor can small and medium sized states remain mere spectators to decisions that concern their security and their future.",Framed as a restoring-trust diagnosis of institutional failure; coded Negative per Rule 6.B.,claude,claude-sonnet-5,2026-09-26
M_112,M_112_future_multilateralism_position,Multilateralism,future_multilateralism_position,6,Transformation,"(1) We insist on reform of the United Nations only because we want it to be more representative, more democratic and more effective organization We want an organisation true to the purposes and principles of its charter, yet ever renewed, so that it may rise to the challenges of our rapidly changing world.",,claude,claude-sonnet-5,2026-09-26
M_113,M_113_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) Development Aid geared towards the health, education and empowerment of women and girls.",,claude,claude-sonnet-5,2026-09-26
M_113,M_113_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-26
M_113,M_113_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,1,Positive / Supportive,"(1) After 80 years, the Principality hopes that women candidates will be seriously considered. The organisation would do well to demonstrate at its helm the equality for which it stands.",Inferred from same passage that also grounds sg_selection_position_gender; per rule this makes women_leadership_position non-zero using the same code.,claude,claude-sonnet-5,2026-09-26
