id_speech,id_extract,emerging_topic,textual_extract
M_73,M_73_peace_and_security,Peace and security,"the promotion of preventive diplomacy, mediation and peaceful discipline resolution while tackling the underlying causes of insecurity"
M_73,M_73_financing_debt,Financing / debt,developing countries face an annual financing gap exceeding US $4 trillion
M_73,M_73_climate_change,Climate change,developed countries are called upon to honor their climate finance commitments in line with common but differentiated responsibilities
M_73,M_73_ai_digital_transformation,AI / digital transformation,"Zimbabwe's national artificial intelligence strategy, 2026 to 2030, promotes human-centered ethical and responsible innovation"
M_73,M_73_human_rights,Human rights,Racism and all forms of discrimination continue to deny millions the equal enjoyment of human rights and development
M_73,M_73_food_security,Food security,Zimbabwe is also pursuing food and nutrition security and the climate smart agriculture
M_74,M_74_climate_change,Climate change,"increasingly violent and destructive tropical cyclones devastate crops, infrastructure and human lives"
M_74,M_74_development_sdgs,Development / SDGs,mobilize $1.5 billion over five years for the implementation of the United Nations Sustainable Development Cooperation Framework for the period 2024-2028
M_74,M_74_food_security,Food security,mothers walk dozens of kilometers under scorching heat in search of water from the bed of a dried up river
M_74,M_74_financing_debt,Financing / debt,"advocating a faster, more predictable and more inclusive sovereign debt restructuring mechanism"
M_74,M_74_peace_and_security,Peace and security,Maritime security in the Mozambique Channel and the western Indian Ocean remains at the heart of the regional initiatives
M_75,M_75_human_rights,Human rights,the transatlantic slave trade and chattel enslavement were the gravest crimes against humanity
M_75,M_75_financing_debt,Financing / debt,Developing nations borrow at interest rates up to eight times higher than industrialised nations
M_75,M_75_peace_and_security,Peace and security,"the ongoing persecution of the Palestinian people in Gaza, the West Bank, and the occupied territories"
M_75,M_75_climate_change,Climate change,"Torrential rain, exceeding 160 millimetres, was dumped on seven coastal regions within 24 hours, resulting in 39 deaths"
M_75,M_75_global_health,Global health,We must build an equitable global health architecture that guarantees regional manufacturing of vaccines and therapeutics
M_75,M_75_inequality,Inequality,"Africa contributes less than 4 per cent of global greenhouse gas emissions, yet bears some of the heaviest burden of climate devastation"
M_76,M_76_peace_and_security,Peace and security,a genocidal war that has created an unprecedented humanitarian catastrophe
M_76,M_76_human_rights,Human rights,"a system of laws, measures, and practices all built on racial discrimination, ethnic cleansing, and state terrorism"
M_76,M_76_development_sdgs,Development / SDGs,The Israeli government is withholding more than $6 billion that belong to the Palestinian people
M_77,M_77_peace_and_security,Peace and security,We call as well for an end to the Russia-Ukraine war and the war in Sudan
M_77,M_77_climate_change,Climate change,
M_77,M_77_ai_digital_transformation,AI / digital transformation,"Artificial intelligence, biotechnology, digital communications and other extraordinary breakthroughs offer the prospect of transforming health, education, agriculture"
M_77,M_77_development_sdgs,Development / SDGs,"We must renew our commitment to them — not as an inventory of promises, but as a covenant with our peoples"
M_77,M_77_migration,Migration,Guyana has always advanced the peaceful settlement of the controversy in relation to our border with Venezuela
M_78,M_78_climate_change,Climate change,over 40% of the global population are vulnerable to the destructive effects of Climate change
M_78,M_78_development_sdgs,Development / SDGs,Progress towards achieving the Sustainable Development Goals by 2030 stands at 36%
M_78,M_78_financing_debt,Financing / debt,the promise of sustainable development cannot be fulfilled without reform of the international financial architecture
M_78,M_78_peace_and_security,Peace and security,Somalia also continues to confront international terrorism with determination
M_78,M_78_food_security,Food security,drought linked to climate change is affecting over 6 million people
M_79,M_79_peace_and_security,Peace and security,"The devastating war in the Middle East, marked by massive civilian losses and destruction of critical infrastructure."
M_79,M_79_human_rights,Human rights,"Hundreds of thousands of Palestinian civilians, women, children and elderly have lost their lives and entire populations stands on the brink of extermination."
M_79,M_79_financing_debt,Financing / debt,That is why we in the Comoros call for a profound reform of the international financial architecture.
M_79,M_79_development_sdgs,Development / SDGs,Despite our efforts the Sustainable Development Goals of the 2030 agenda remain unfortunately out of reach.
M_79,M_79_climate_change,Climate change,This is a prerequisite. For addressing climate change.
M_79,M_79_ai_digital_transformation,AI / digital transformation,The risks of artificial intelligence and the imperative of sustainable development.
M_79,M_79_other,Other,"The Comorian state still striving for full sovereignty within its internationally recognised borders, remains under what it considers an illegal French occupation."
M_80,M_80_peace_and_security,Peace and security,"Investing in preventive democracy, mediation and early warning is not only morally imperative but also fiscally prudent."
M_80,M_80_financing_debt,Financing / debt,Liberia calls for urgent structural reform of the international financial architecture.
M_80,M_80_climate_change,Climate change,Climate responsibility must be paired with climate justice. We call on industrial nations to honour their financial pledges and operationalize loss and damage mechanisms.
M_80,M_80_ai_digital_transformation,AI / digital transformation,"We join calls for binding ethical norms and greater regulation of artificial intelligence, particularly in warfare."
M_80,M_80_development_sdgs,Development / SDGs,"My government is driving transformation through our National Development blueprint, the Arrest Agenda for Inclusive Development."
M_80,M_80_inequality,Inequality,"Africa demands no fewer than two permanent seats, with all accompanying rights and responsibilities, including the veto."
M_81,M_81_other,Other,"Organized crime has various different sources of financing... drug trafficking, drug terrorism, or the smuggling of gold to then destabilize our democracies."
M_81,M_81_climate_change,Climate change,"The protection of the Amazon is a national responsibility, but it is also an international one."
M_81,M_81_development_sdgs,Development / SDGs,"I believe we need to build a new agenda, an agenda of energy critical minerals, industrialization, infrastructure, digitalization, water, biodiversity, food security, education, health, gender science, technology, connectivity, and other things."
M_81,M_81_technology_digital_divide,Technology / digital divide,I am the product of digitalization. I conducted my campaign on social networks alone.
M_81,M_81_financing_debt,Financing / debt,"We were reduced to a country that now has to be negotiating with multilateral institutions and with various different nations, and that is not right."
M_82,M_82_peace_and_security,Peace and security,Hungary condemns Russia's full-scale war of aggression as a violation of the United Nations Charter and international law.
M_82,M_82_migration,Migration,"We will fight illegal migration and the criminal networks that profit from it, while respecting human dignity and the protection given to refugees."
M_82,M_82_climate_change,Climate change,"Water is another area where our interests meet. Drought can destroy crops, threaten food and energy supplies and take away people's income."
M_82,M_82_development_sdgs,Development / SDGs,"Hungary will continue to support development that helps communities build that future, based on their own needs and priorities."
M_82,M_82_human_rights,Human rights,The law must apply even to those in power.
M_83,M_83_peace_and_security,Peace and security,We reaffirm our enduring willingness to contribute to peacekeeping missions with a deep sense of responsibility and solidarity.
M_83,M_83_inequality,Inequality,Extreme inequality remains one of the great threats to coexistence.
M_83,M_83_ai_digital_transformation,AI / digital transformation,"While we discuss growth, technology, artificial intelligence, the energy transition, or new forms of production."
M_83,M_83_development_sdgs,Development / SDGs,Poverty continues to deprive millions of people of basic opportunities.
M_84,M_84_ai_digital_transformation,AI / digital transformation,"We need an accountable, transparent and regulated architecture. We need an AI that serves humanity, not controls it."
M_84,M_84_climate_change,Climate change,On climate action – with the Paris Agreement.
M_84,M_84_peace_and_security,Peace and security,"A devastating act of aggression against a sovereign state, committed by a permanent member of the Security Council of the United Nations."
M_84,M_84_development_sdgs,Development / SDGs,"Agenda 2030 is in danger. The funding gap is widening, the climate crisis is worsening and geopolitical divisions are holding back progress."
M_84,M_84_financing_debt,Financing / debt,We must continue to work on reforming the global financial architecture.
M_84,M_84_human_rights,Human rights,"Especially the International Court of Justice and the International Criminal Court. We stand firmly behind them and will uphold their independence, their integrity and their ability to fully exercise their mandate."
M_85,M_85_development_sdgs,Development / SDGs,"When the 2030 agenda was adopted, the world embraced its deeply human vision, eradicating poverty, protecting the planet."
