id_speech,id_extract,emerging_topic,textual_extract
M_1,M_1_peace_and_security,Peace and security,"Across the Middle East, conflicts are cascading... the fighting must stop."
M_1,M_1_human_rights,Human rights,Civilians were targeted. Human rights trampled. Hunger weaponized.
M_1,M_1_climate_change,Climate change,"Now we face a near certain breach of the 1.5 degree limit, with a supersized El Niño speeding straight for humanity."
M_1,M_1_ai_digital_transformation,AI / digital transformation,"The fourth power test is technology, and above all artificial intelligence."
M_1,M_1_inequality,Inequality,"The second test of power is inequality... Power over opportunity, resources, voice."
M_1,M_1_financing_debt,Financing / debt,so many throughout the developing world are being crushed by unsustainable debt.
M_2,M_2_peace_and_security,Peace and security,"The war in Gaza has left over 70,000 people dead, including thousands of children."
M_2,M_2_development_sdgs,Development / SDGs,progress on the SDGs has stalled at just over a third of targets.
M_2,M_2_financing_debt,Financing / debt,"addressing debt burdens, reforming the international financial architecture, fulfilling our Sevilla and Paris commitments."
M_2,M_2_ai_digital_transformation,AI / digital transformation,AI can be a powerful accelerator of human progress... we must address AI's potential harms.
M_2,M_2_human_rights,Human rights,"Hateful narratives are spreading like wildfire across borders... targeting women and girls, minorities, migrants, refugees."
M_2,M_2_migration,Migration,the United Nations country team in Cox's Bazar is striving to do more with less to support Rohingya refugees.
M_3,M_3_peace_and_security,Peace and security,The war between Russia and Ukraine has dragged on for five years in a humanitarian drama that continues to claim lives.
M_3,M_3_climate_change,Climate change,"The glaciers in the Himalayas are melting. The super El Nino may cause torrential rains, droughts and forest fires."
M_3,M_3_ai_digital_transformation,AI / digital transformation,the challenge of regulating the big techs and artificial intelligence... bypassing the United Nations and the Scientific panel on Artificial Intelligence.
M_3,M_3_development_sdgs,Development / SDGs,the Sustainable Development Goals are currently under attack.
M_3,M_3_global_health,Global health,we will never forget the millions of lives lost due to the negligence in the fight against Covid 19.
M_3,M_3_inequality,Inequality,It is possible to include the poor in the budget and make the rich pay their share.
M_4,M_4_peace_and_security,Peace and security,"Working with many nations in this room, we are solving decades of intractable challenges, and we are settling years of unfinished business."
M_4,M_4_migration,Migration,"There is no human right to illegal immigration, but there is a right to remain a sovereign nation, and we want to remain a sovereign nation."
M_4,M_4_ai_digital_transformation,AI / digital transformation,welcome to the new world of superintelligence dash SISI.
M_4,M_4_human_rights,Human rights,the craven hypocrites of Human Rights Council have little to say about the persecution of Christians.
M_4,M_4_financing_debt,Financing / debt,"we have carried out dozens of strikes on cartel drug boats, destroying 97% of the drugs coming into the ocean and sea."
M_4,M_4_climate_change,Climate change,"the same people who said we'll all be dead in 12 years because of global warming, a name since reborn to climate change because the planet was cooling, not warming."
M_5,M_5_peace_and_security,Peace and security,"Then there is Gaza. For decades, I have stood before this Assembly and warned of the dangers of leaving the Palestinian-Israeli conflict unresolved."
M_5,M_5_human_rights,Human rights,Demolishing Palestinian homes to expand illegal settlements is not 'law enforcement.' It is forcible transfer.
M_5,M_5_migration,Migration,Hundreds of thousands have been forced to leave the lands where they were born and raised.
M_5,M_5_development_sdgs,Development / SDGs,"We are strengthening connections from the Gulf to the Mediterranean as a hub for trade, industry, and technology."
M_6,M_6_peace_and_security,Peace and security,"the past 12 months have gone down in history as one of the bloodiest periods of the last 30 years, marked by over 60 conflicts and wars."
M_6,M_6_human_rights,Human rights,"In Gaza alone, over the past three years, 74,000 of our brothers and sisters—most of them children and women—have fallen victim to Israel’s state terrorism."
M_6,M_6_climate_change,Climate change,"This November, we will host COP31 Summit in Antalya. At the Summit, we will ensure that climate justice is given particular prominence."
M_6,M_6_food_security,Food security,"Every year, 5.8 trillion plates of food end up in the bin worldwide, meaning that over 2 billion tons of food are wasted."
M_6,M_6_ai_digital_transformation,AI / digital transformation,It is long overdue to establish a common international legal framework for artificial intelligence.
M_6,M_6_inequality,Inequality,we must jointly build a new paradigm that offers solutions to the increasingly deepening income inequalities around the world.
M_7,M_7_peace_and_security,Peace and security,Kyrgyzstan is a country that believes in the power of dialogue and the peaceful settlement of conflicts.
