id_speech,id_extract,emerging_topic,textual_extract
M_37,M_37_peace_and_security,Peace and security,"Albania remains firmly committed to the UN Charter and will continue to contribute to peacekeeping, missions, humanitarian efforts."
M_37,M_37_climate_change,Climate change,"Climate change is the defining challenge of our century, and Albania is committed to the transition to clean energy and environmental protection."
M_37,M_37_ai_digital_transformation,AI / digital transformation,"For Albania, digital transformation is a national priority... digitize public services, increase transparency, and fight corruption."
M_37,M_37_development_sdgs,Development / SDGs,The prosperity and well-being of its citizens are closely linked to tangible progress in achieving the sustainable development goals.
M_37,M_37_human_rights,Human rights,We have worked tirelessly to promote the universality of human rights and the indivisibility of all freedoms.
M_38,M_38_migration,Migration,"On the country to what we don't see there is immigration, we see invasion."
M_38,M_38_financing_debt,Financing / debt,The country now has an unparalleled debt crisis.
M_38,M_38_development_sdgs,Development / SDGs,The poor results of Agenda 2030 bear witness to whatever outlined above.
M_38,M_38_peace_and_security,Peace and security,"We reiterate our demand for the immediate release of the hostages, which remain captive in Gaza."
M_38,M_38_human_rights,Human rights,This is a forced disappearance. We demand that the Venezuelan government release him immediately.
M_39,M_39_climate_change,Climate change,"Nations for whom climate change is more than an environmental challenge, it is an existential threat."
M_39,M_39_peace_and_security,Peace and security,"Australia is calling for a ceasefire, the immediate release of the hostages, for aid to flow to those in desperate need."
M_39,M_39_human_rights,Human rights,We stand against discrimination and prejudice everywhere.
M_39,M_39_ai_digital_transformation,AI / digital transformation,"deploying new technology to undermine our trust in democracy, institutions and each other."
M_39,M_39_global_health,Global health,"By providing vaccines that spare families from disease, by bringing clean water to a community on the brink."
M_39,M_39_migration,Migration,"We want to see aid workers delivering food, water, and medicine to conflict zones protected."
M_40,M_40_peace_and_security,Peace and security,The Central African Republic proposes the strengthening of the United Nations' mechanisms for preventive diplomacy through the creation of a global conflict prevention fund.
M_40,M_40_climate_change,Climate change,"We call for an integrated African mechanism for food and climate security, supported by the United Nations."
M_40,M_40_development_sdgs,Development / SDGs,The 2030 Agenda for Sustainable Development remains our roadmap.
M_40,M_40_financing_debt,Financing / debt,It's time for us to speak the truth. Each one should bear the burden based on their historic responsibilities.
