id_speech,extract_id,cluster,indicator_name,code,option,textual_extract,coder_notes,coding_source,model,date_coded
M_37,M_37_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) ""Our efforts are focused on education, healthcare, gender equality and youth empowerment because inclusion is the only path to sustainable development."" (2) ""Albania is proud of the progress it has made in advancing gender equality not only as a moral obligation but as a driver of societal development. Today women hold some of the highest offices in our country, in and outside of the country and works closely with partners to make equality a tangible reality for all."" (3) ""During our mandate, we have focused on protecting vulnerable groups, advancing gender equality, and defending the rights of those most at risk of violation.""",,claude,claude-sonnet-5,2026-09-18
M_37,M_37_women_leadership_position,Gender and women's leadership,women_leadership_position,1,Positive / Supportive,"(1) ""Today women hold some of the highest offices in our country, in and outside of the country and works closely with partners to make equality a tangible reality for all."" (2) ""when individual freedoms are protected, when women and youth are empowered and when diversity is embraced as a strength.""",,claude,claude-sonnet-5,2026-09-18
M_37,M_37_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
M_37,M_37_sg_selection_position,SG election,sg_selection_position,0,No Mention,,"Speech thanks SG Guterres for leadership and thanks PGA Baerbock, but neither passage concerns SG selection/appointment process.",claude,claude-sonnet-5,2026-09-18
M_37,M_37_sg_selection_position_gender,SG election,sg_selection_position_gender,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
M_37,M_37_un_reform_position,UN reform,un_reform_position,0,No Mention,,Speech calls for renewed commitment and 'more from these organizations' but does not propose institutional reform of UN structures/procedures; treated as No Mention per Rule 6.J.,claude,claude-sonnet-5,2026-09-18
M_37,M_37_current_multilateralism_position,Multilateralism,current_multilateralism_position,2,Mixed / Ambiguous,"(1) ""For the Republic of Albania, the United Nations has been and continues to be the universal platform for dialogue, giving every country large or small a voice in shaping our shared future. Its achievements are undeniable, the prevention of conflicts, the advancement of human rights, and the provision of humanitarian aid to millions."" (2) ""Yet in the context of today's global crisis, it is natural to demand more from these organizations and more from ourselves."" (3) ""Humanity therefore needs more multilateral cooperation.""","Present-tense positive claim ('continues to be the universal platform... achievements are undeniable') paired with a call for 'more' from the organization amid crisis, without a clear restoration/credibility-loss diagnosis; coded Mixed rather than Negative since no explicit claim that the current system has lost credibility.",claude,claude-sonnet-5,2026-09-18
M_37,M_37_future_multilateralism_position,Multilateralism,future_multilateralism_position,6,Transformation,"(1) ""Last year, we endorsed the PACT for the Future as a guiding framework to revive multilateral cooperation. Now, we must turn words into action, turning commitments into concrete progress on peace and security, sustainable development, climate, digital cooperation, and protection of human rights."" (2) ""Humanity therefore needs more multilateral cooperation.""",,claude,claude-sonnet-5,2026-09-18
M_38,M_38_gender_equality_position,Gender and women's leadership,gender_equality_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
M_38,M_38_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
M_38,M_38_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
M_38,M_38_sg_selection_position,SG election,sg_selection_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-18
